1|1|Степанова|Татьяна|Алексеевна|2007-08-17|7369 110756|+79177419153|stepanova.t86@edu.univ.ru|2025|учится|бюджет
2|1|Кузнецов|Никита|Андреевич|2006-03-14|5106 606020|+79862295773|kuznecov.n36@edu.univ.ru|2025|учится|контракт
3|1|Никитина|Елизавета|Романовна|2007-08-18|1928 834030|+79825559083|nikitina.e36@edu.univ.ru|2025|учится|контракт
4|1|Морозова|Анна|Александровна|2008-10-20|8526 181254|+79801718721|morozova.a38@edu.univ.ru|2025|академ|бюджет
5|1|Петров|Денис|Михайлович|2008-09-17|9856 860659|+79064562909|petrov.d13@edu.univ.ru|2025|учится|контракт
6|1|Фёдоров|Артём|Сергеевич|2006-02-25|7184 425953|+79733104546|fedorov.a94@edu.univ.ru|2025|учится|контракт
7|1|Козлов|Матвей|Ильич|2008-12-17|9216 360251|+79774925004|kozlov.m68@edu.univ.ru|2025|учится|контракт
8|1|Козлов|Роман|Дмитриевич|2008-11-17|4529 474702|+79402910486|kozlov.r21@edu.univ.ru|2025|учится|бюджет
9|1|Васильев|Илья|Ильич|2005-06-16|3286 626014|+79345772314|vasilev.i20@edu.univ.ru|2025|учится|бюджет
10|1|Степанов|Никита|Максимович|2006-05-02|8051 645923|+79826614987|stepanov.n51@edu.univ.ru|2025|учится|бюджет
11|1|Павлова|Мария|Романовна|2008-02-25|8567 561585|+79367406524|pavlova.m80@edu.univ.ru|2025|учится|бюджет
12|1|Николаева|София|Алексеевна|2008-09-01|8709 954096|+79609178956|nikolaeva.s88@edu.univ.ru|2025|учится|контракт
13|1|Степанов|Алексей|Максимович|2006-11-11|2943 300251|+79875435476|stepanov.a32@edu.univ.ru|2025|учится|контракт
14|1|Попов|Матвей|Кириллович|2006-09-24|7691 892384|+79574823315|popov.m13@edu.univ.ru|2025|учится|бюджет
15|1|Андреев|Иван|Максимович|2005-05-01|6747 915056|+79426175116|andreev.i52@edu.univ.ru|2025|учится|бюджет
16|1|Семёнова|Екатерина|Ильинична|2005-10-09|2045 770833|+79098468789|semenova.e53@edu.univ.ru|2025|учится|бюджет
17|1|Морозов|Роман|Александрович|2008-01-10|1250 303383|+79506732609|morozov.r66@edu.univ.ru|2025|учится|контракт
18|1|Михайлов|Никита|Артёмович|2006-11-17|1022 690535|+79969314425|mihaylov.n36@edu.univ.ru|2025|учится|контракт
19|1|Степанова|Елизавета|Кирилловна|2005-11-04|9355 234182|+79545815916|stepanova.e89@edu.univ.ru|2025|отчислен|бюджет
20|1|Петрова|Ксения|Романовна|2006-05-13|5795 102149|+79879894828|petrova.k21@edu.univ.ru|2025|учится|бюджет
21|1|Андреева|Мария|Дмитриевна|2006-08-17|8883 368453|+79119800523|andreeva.m78@edu.univ.ru|2025|отчислен|контракт
22|1|Степанов|Дмитрий|Ильич|2007-06-13|1183 523244|+79990101524|stepanov.d33@edu.univ.ru|2025|учится|бюджет
