1|1|Смирнова Ксения Андреевна|5226 396254|+79880446522|smirnova284@mail.ru|217|2022-07-07|отказ|контракт
2|1|Новиков Никита Алексеевич|9748 519566|+79733965139|novikov501@mail.ru|186|2022-07-14|зачислен|бюджет
3|1|Иванов Роман Ильич|1421 456543|+79777010638|ivanov569@mail.ru|178|2022-07-14|зачислен|контракт
4|1|Новикова Юлия Максимовна|1079 897531|+79247831469|novikova519@mail.ru|197|2022-07-22|отказ|контракт
5|1|Алексеев Артём Дмитриевич|7391 263373|+79617463774|alekseev659@mail.ru|213|2022-06-23|зачислен|бюджет
6|1|Никитина Ольга Андреевна|3123 499473|+79035676537|nikitina162@mail.ru|220|2022-07-16|зачислен|бюджет
7|1|Макарова Юлия Ивановна|9447 332399|+79722908224|makarova303@mail.ru|247|2022-07-06|отозвано|бюджет
8|1|Петров Михаил Иванович|3842 575837|+79139196946|petrov404@mail.ru|198|2022-06-10|отказ|бюджет
9|1|Кузнецов Александр Александрович|2599 480301|+79448312485|kuznecov191@mail.ru|198|2022-06-03|зачислен|бюджет
10|1|Волкова Мария Александровна|6915 481271|+79206140703|volkova579@mail.ru|201|2022-06-14|зачислен|бюджет
11|1|Попов Арсений Андреевич|8513 736896|+79055742876|popov847@mail.ru|224|2022-07-06|отказ|бюджет
12|1|Никитин Максим Михайлович|1214 650782|+79190701458|nikitin635@mail.ru|276|2022-07-17|зачислен|бюджет
13|1|Андреев Алексей Михайлович|3087 720462|+79220958728|andreev998@mail.ru|161|2022-07-07|отказ|бюджет
14|1|Козлов Артём Романович|8744 722777|+79711198771|kozlov782@mail.ru|182|2022-06-07|зачислен|бюджет
15|1|Иванова Ксения Ивановна|4720 654636|+79188719035|ivanova667@mail.ru|232|2022-07-07|отказ|бюджет
16|1|Морозов Роман Романович|8108 220585|+79782316426|morozov618@mail.ru|249|2022-07-17|отказ|бюджет
17|1|Козлов Алексей Ильич|1440 534816|+79667026373|kozlov733@mail.ru|236|2022-06-06|отказ|бюджет
18|1|Семёнов Михаил Михайлович|3008 321011|+79299305596|semenov578@mail.ru|275|2022-06-18|отказ|бюджет
19|1|Павлов Егор Артёмович|5635 530998|+79755331779|pavlov777@mail.ru|186|2022-06-11|отказ|контракт
20|1|Иванов Иван Ильич|4632 423384|+79915051695|ivanov546@mail.ru|205|2022-07-02|отказ|бюджет
21|1|Кузнецов Андрей Романович|6001 480932|+79981182132|kuznecov541@mail.ru|159|2022-07-13|зачислен|бюджет
22|1|Смирнов Никита Дмитриевич|6469 168945|+79171084428|smirnov861@mail.ru|234|2022-07-10|подано|бюджет
23|1|Степанов Алексей Романович|2639 677754|+79156973830|stepanov296@mail.ru|229|2022-06-17|подано|бюджет
24|1|Орлов Матвей Артёмович|2074 231774|+79971483511|orlov127@mail.ru|247|2022-06-07|зачислен|бюджет
25|1|Семёнова Ольга Михайловна|9928 999581|+79536980687|semenova344@mail.ru|221|2022-06-08|отказ|контракт
26|1|Николаев Алексей Александрович|1934 139678|+79153094313|nikolaev485@mail.ru|189|2022-06-22|отказ|бюджет
27|1|Морозов Сергей Иванович|6391 126024|+79544035741|morozov535@mail.ru|212|2022-06-09|отказ|контракт
28|1|Морозов Алексей Александрович|6714 643803|+79060620427|morozov684@mail.ru|141|2022-06-02|зачислен|контракт
29|1|Лебедева Юлия Дмитриевна|1979 283608|+79563561024|lebedeva865@mail.ru|231|2022-07-06|зачислен|контракт
30|1|Орлов Илья Дмитриевич|5072 862739|+79191339255|orlov209@mail.ru|226|2022-06-25|отказ|бюджет
31|1|Лебедев Александр Максимович|4473 159922|+79088702558|lebedev722@mail.ru|190|2022-06-01|отказ|контракт
32|1|Попова Елизавета Александровна|7874 225088|+79167518827|popova410@mail.ru|207|2022-06-01|зачислен|контракт
33|1|Макарова Екатерина Михайловна|6573 941736|+79371389863|makarova971@mail.ru|238|2022-07-22|подано|бюджет
34|1|Новиков Дмитрий Андреевич|7300 143617|+79753323870|novikov374@mail.ru|161|2022-07-06|зачислен|контракт
35|1|Морозов Дмитрий Алексеевич|7916 617670|+79849008279|morozov938@mail.ru|176|2022-06-17|отказ|бюджет
36|1|Михайлов Никита Дмитриевич|3712 622563|+79485106292|mihaylov135@mail.ru|179|2022-07-05|отказ|бюджет
37|1|Фёдоров Илья Кириллович|4497 162284|+79342149655|fedorov747@mail.ru|197|2022-07-21|отказ|бюджет
38|1|Петров Александр Михайлович|9298 361214|+79331887256|petrov491@mail.ru|167|2022-06-24|зачислен|бюджет
39|1|Орлов Дмитрий Дмитриевич|9713 342021|+79647619165|orlov394@mail.ru|221|2022-06-06|зачислен|бюджет
40|1|Волкова Юлия Алексеевна|6079 200600|+79431172591|volkova577@mail.ru|229|2022-07-15|отказ|контракт
41|1|Фёдорова Алиса Артёмовна|2391 741533|+79385991541|fedorova583@mail.ru|227|2022-07-08|отказ|контракт
