1|1|Васильев Максим Александрович|старший преподаватель||2006|850
2|1|Орлов Александр Ильич|доцент||2019|800
3|1|Макарова София Романовна|профессор|к.э.н.|2010|900
4|1|Михайлов Илья Алексеевич|профессор|д.т.н.|2020|850
5|1|Никитин Александр Ильич|старший преподаватель|к.э.н.|1998|720
6|1|Фёдорова Дарья Михайловна|профессор|к.ю.н.|2002|800
7|1|Петров Дмитрий Сергеевич|ассистент||1996|900
8|1|Лебедева Полина Романовна|доцент|к.т.н.|2022|800
9|1|Семёнова Анастасия Ивановна|доцент|к.ю.н.|2023|800
10|1|Фёдоров Иван Андреевич|профессор||2012|720
11|1|Васильев Роман Артёмович|старший преподаватель|к.ю.н.|2016|800
12|2|Морозова Дарья Алексеевна|старший преподаватель|к.т.н.|2017|900
13|2|Орлов Максим Романович|профессор|к.ю.н.|2015|850
14|2|Смирнова Татьяна Дмитриевна|профессор|к.ф.-м.н.|2002|800
15|2|Павлова Анастасия Сергеевна|доцент|к.т.н.|2001|850
16|2|Михайлов Иван Алексеевич|профессор|к.ф.-м.н.|2004|720
17|2|Михайлов Андрей Кириллович|профессор||2018|720
18|2|Алексеев Матвей Александрович|профессор|к.ю.н.|1996|800
19|2|Фёдоров Никита Алексеевич|доцент||2001|850
20|3|Семёнова Юлия Сергеевна|доцент|к.ф.-м.н.|2011|720
21|3|Егорова София Артёмовна|доцент||2016|900
22|3|Михайлов Дмитрий Романович|ассистент|к.ю.н.|2015|900
23|3|Николаев Андрей Артёмович|профессор||2017|720
24|3|Новикова Полина Михайловна|ассистент|к.э.н.|2017|720
25|3|Петров Андрей Кириллович|ассистент|к.ф.-м.н.|2018|800
26|3|Фёдоров Иван Александрович|профессор|к.э.н.|2000|800
27|3|Волков Александр Михайлович|ассистент||2002|850
28|3|Волков Михаил Ильич|доцент|к.т.н.|2013|800
29|4|Васильев Кирилл Кириллович|старший преподаватель|к.т.н.|2014|850
30|4|Козлов Иван Иванович|доцент|к.т.н.|2000|850
31|4|Петрова Дарья Алексеевна|старший преподаватель|к.ф.-м.н.|2003|900
32|4|Волкова Елизавета Сергеевна|старший преподаватель|к.ю.н.|2003|850
33|4|Козлова Наталья Романовна|ассистент|к.ю.н.|2017|900
34|4|Иванова Татьяна Михайловна|доцент|к.ю.н.|2007|850
35|4|Степанова Анастасия Романовна|ассистент|к.т.н.|2017|900
36|4|Соколова Елизавета Андреевна|доцент|к.ф.-м.н.|2024|850
37|5|Степанова Ольга Сергеевна|профессор||2020|800
38|5|Никитин Егор Максимович|профессор|к.ф.-м.н.|1996|800
